feature,importance
num__PageValues,0.336896437366851
num__ExitRates,0.09201087891612918
log_num__ProductRelated_Duration,0.08302505302172333
num__ProductRelated,0.07913704439583995
log_num__Administrative_Duration,0.05716044631802027
num__Administrative,0.04432156852677711
log_num__Informational_Duration,0.027864100120935337
num__Informational,0.020137372920189477
cat__Month_Nov,0.018933755858433984
num__Weekend,0.012224732536009747
cat__Region_1,0.011642478078700377
cat__TrafficType_2,0.011357507068506696
cat__Region_3,0.009714265407553394
cat__Browser_2,0.008865447866988743
cat__OperatingSystems_2,0.00874136385051394
cat__VisitorType_New_Visitor,0.008492997463591
cat__VisitorType_Returning_Visitor,0.008402167415816935
cat__Month_May,0.0078815264831362
cat__OperatingSystems_3,0.007180380923509746
cat__TrafficType_1,0.007106583679712215
cat__Region_2,0.007037609710476778
cat__OperatingSystems_1,0.0069216572303654215
cat__Month_Dec,0.006746128934658564
cat__Browser_1,0.006382643914953794
cat__Region_4,0.006276147787750007
cat__TrafficType_3,0.005918376580980492
cat__Month_Mar,0.005558690534708235
cat__Browser_4,0.005367874122775827
cat__Month_Sep,0.005083948784939205
cat__Region_6,0.004806435337800502
cat__Month_Oct,0.0047723813463758395
cat__Region_7,0.004652155179015517
num__SpecialDay,0.004649574019806199
cat__TrafficType_8,0.004642514622078951
cat__TrafficType_4,0.004585532905047423
cat__Region_9,0.004562471788276384
cat__TrafficType_10,0.004255591565734055
cat__Region_8,0.003710510167484069
cat__Month_Jul,0.0035938304838790246
cat__OperatingSystems_4,0.0035726050623991457
cat__Browser_5,0.003516096485615543
cat__Month_Aug,0.0034537573616215027
cat__TrafficType_13,0.0032311728456597766
cat__Region_5,0.003178067540461535
cat__TrafficType_6,0.0028824031872974947
cat__TrafficType_5,0.002868419332889084
cat__TrafficType_11,0.00230326217100373
cat__Browser_10,0.00227051924415134
cat__TrafficType_20,0.0019710929031703985
cat__Month_June,0.0017987674864438424
cat__Browser_6,0.0014992583938748813
cat__TrafficType_7,0.0009225482581441576
cat__Browser_12,0.0007607434498063173
cat__Browser_8,0.0006948910239959143
cat__VisitorType_Other,0.0005538949562304406
cat__OperatingSystems_8,0.0005343184185885086
cat__Browser_7,0.00046686168346045387
cat__Browser_3,0.0004578316760411633
cat__Month_Feb,0.0004059134265988185
cat__TrafficType_16,0.0004033947711316381
cat__Browser_13,0.00036228417844642023
cat__OperatingSystems_6,0.0003209915415345141
cat__TrafficType_9,0.0003130216185668802
cat__OperatingSystems_7,0.00023194827371829575
cat__TrafficType_14,0.0001934368089197894
cat__Browser_11,6.75502174700623e-05
cat__OperatingSystems_5,5.5551899254052486e-05
cat__TrafficType_19,5.310019195607582e-05
cat__TrafficType_15,3.058095328872922e-05
cat__TrafficType_18,5.217704620635224e-06
cat__Browser_9,3.136975939928842e-07
cat__TrafficType_12,0.0
cat__TrafficType_17,0.0
